subject,frequency
Machine Learning (cs.LG),9303
Computer Vision and Pattern Recognition (cs.CV),5338
Artificial Intelligence (cs.AI),5187
Computation and Language (cs.CL),4293
Robotics (cs.RO),1481
Information Retrieval (cs.IR),672
Cryptography and Security (cs.CR),630
Human-Computer Interaction (cs.HC),497
Neural and Evolutionary Computing (cs.NE),489
Computers and Society (cs.CY),453
Sound (cs.SD),413
Software Engineering (cs.SE),383
Image and Video Processing (eess.IV),339
Signal Processing (eess.SP),277
Machine Learning (stat.ML),270
Social and Information Networks (cs.SI),221
Multiagent Systems (cs.MA),213
Systems and Control (eess.SY),209
Audio and Speech Processing (eess.AS),208
"Distributed, Parallel, and Cluster Computing (cs.DC)",191
Networking and Internet Architecture (cs.NI),191
Computer Science and Game Theory (cs.GT),184
Quantum Physics (quant-ph),145
Databases (cs.DB),137
Neurons and Cognition (q-bio.NC),127
Logic in Computer Science (cs.LO),123
Information Theory (cs.IT),122
Optimization and Control (math.OC),122
Hardware Architecture (cs.AR),87
Quantitative Methods (q-bio.QM),67
Digital Libraries (cs.DL),48
Methodology (stat.ME),47
Data Structures and Algorithms (cs.DS),46
Graphics (cs.GR),39
Biomolecules (q-bio.BM),39
Multimedia (cs.MM),34
Genomics (q-bio.GN),33
Programming Languages (cs.PL),31
"Computational Engineering, Finance, and Science (cs.CE)",30
Computational Complexity (cs.CC),29
Numerical Analysis (math.NA),28
Statistical Finance (q-fin.ST),28
Emerging Technologies (cs.ET),25
Instrumentation and Methods for Astrophysics (astro-ph.IM),22
Atmospheric and Oceanic Physics (physics.ao-ph),21
Computational Physics (physics.comp-ph),20
Fluid Dynamics (physics.flu-dyn),20
Medical Physics (physics.med-ph),17
Physics and Society (physics.soc-ph),16
Trading and Market Microstructure (q-fin.TR),16
Applications (stat.AP),16
Materials Science (cond-mat.mtrl-sci),14
General Economics (econ.GN),13
Theoretical Economics (econ.TH),13
Computational Finance (q-fin.CP),13
Geophysics (physics.geo-ph),12
Formal Languages and Automata Theory (cs.FL),12
Chemical Physics (physics.chem-ph),11
Portfolio Management (q-fin.PM),9
Statistics Theory (math.ST),9
Other Computer Science (cs.OH),8
Cosmology and Nongalactic Astrophysics (astro-ph.CO),8
Earth and Planetary Astrophysics (astro-ph.EP),8
Astrophysics of Galaxies (astro-ph.GA),7
Computational Geometry (cs.CG),6
Populations and Evolution (q-bio.PE),6
Logic (math.LO),5
Combinatorics (math.CO),5
Category Theory (math.CT),5
Optics (physics.optics),5
Disordered Systems and Neural Networks (cond-mat.dis-nn),5
Molecular Networks (q-bio.MN),5
Discrete Mathematics (cs.DM),5
Instrumentation and Detectors (physics.ins-det),4
General Relativity and Quantum Cosmology (gr-qc),4
Algebraic Topology (math.AT),4
High Energy Physics - Experiment (hep-ex),4
High Energy Physics - Phenomenology (hep-ph),4
Applied Physics (physics.app-ph),4
History and Overview (math.HO),4
History and Philosophy of Physics (physics.hist-ph),4
"Data Analysis, Statistics and Probability (physics.data-an)",4
Solar and Stellar Astrophysics (astro-ph.SR),4
Mesoscale and Nanoscale Physics (cond-mat.mes-hall),4
Dynamical Systems (math.DS),4
Adaptation and Self-Organizing Systems (nlin.AO),4
Econometrics (econ.EM),4
Statistical Mechanics (cond-mat.stat-mech),4
High Energy Physics - Theory (hep-th),3
Symbolic Computation (cs.SC),3
Risk Management (q-fin.RM),3
Other Quantitative Biology (q-bio.OT),3
Performance (cs.PF),3
Computation (stat.CO),3
Plasma Physics (physics.plasm-ph),3
Biological Physics (physics.bio-ph),2
Probability (math.PR),2
Audio and Speech Processing (eess.AS) ,2
Popular Physics (physics.pop-ph),2
Physics Education (physics.ed-ph),2
Nuclear Experiment (nucl-ex),2
Mathematical Software (cs.MS),2
General Finance (q-fin.GN),2
General Mathematics (math.GM),2
Space Physics (physics.space-ph),1
Soft Condensed Matter (cond-mat.soft),1
Strongly Correlated Electrons (cond-mat.str-el),1
Geometric Topology (math.GT),1
Operating Systems (cs.OS),1
Rings and Algebras (math.RA),1
Representation Theory (math.RT),1
Cellular Automata and Lattice Gases (nlin.CG),1
Other Statistics (stat.OT) ,1
"Computational Engineering, Finance, and Science (cs.CE) ",1
Differential Geometry (math.DG),1
Mathematical Finance (q-fin.MF),1
Materials Science (cond-mat.mtrl-sci) ,1
General Physics (physics.gen-ph),1
High Energy Astrophysical Phenomena (astro-ph.HE),1
General Topology (math.GN),1
Accelerator Physics (physics.acc-ph),1
